,Rainfall,Day,Month,Year
0,0.0,1,1,1981
1,7.325,2,1,1981
2,0.0,3,1,1981
3,0.0,4,1,1981
4,0.0,5,1,1981
5,0.0,6,1,1981
6,0.0,7,1,1981
7,0.0,8,1,1981
8,0.0,9,1,1981
9,0.0,10,1,1981
10,0.0,11,1,1981
11,0.0,12,1,1981
12,0.0,13,1,1981
13,0.0,14,1,1981
14,0.0,15,1,1981
15,0.0,16,1,1981
16,0.0,17,1,1981
17,0.0,18,1,1981
18,0.0,19,1,1981
19,0.0,20,1,1981
20,0.0,21,1,1981
21,0.0,22,1,1981
22,0.0,23,1,1981
23,0.0,24,1,1981
24,0.0,25,1,1981
25,0.0,26,1,1981
26,0.0,27,1,1981
27,0.0,28,1,1981
28,0.0,29,1,1981
29,0.0,30,1,1981
30,0.0,31,1,1981
31,0.0,1,2,1981
32,0.0,2,2,1981
33,0.0,3,2,1981
34,0.0,4,2,1981
35,0.0,5,2,1981
36,0.0,6,2,1981
37,0.0,7,2,1981
38,0.0,8,2,1981
39,0.0,9,2,1981
40,0.0,10,2,1981
41,0.0,11,2,1981
42,0.0,12,2,1981
43,0.0,13,2,1981
44,2.56,14,2,1981
45,2.69,15,2,1981
46,0.0,16,2,1981
47,11.844,17,2,1981
48,0.0,18,2,1981
49,0.0,19,2,1981
50,0.0,20,2,1981
51,0.0,21,2,1981
52,0.0,22,2,1981
53,0.0,23,2,1981
54,2.554,24,2,1981
55,0.0,25,2,1981
56,0.0,26,2,1981
57,0.0,27,2,1981
58,0.0,28,2,1981
59,0.0,1,3,1981
60,0.0,2,3,1981
61,0.0,3,3,1981
62,0.0,4,3,1981
63,7.726,5,3,1981
64,0.0,6,3,1981
65,0.0,7,3,1981
66,0.0,8,3,1981
67,0.0,9,3,1981
68,4.857,10,3,1981
69,5.729,11,3,1981
70,0.0,12,3,1981
71,9.32,13,3,1981
72,0.0,14,3,1981
73,7.945,15,3,1981
74,16.525,16,3,1981
75,11.924,17,3,1981
76,0.0,18,3,1981
77,8.544,19,3,1981
78,7.417,20,3,1981
