,Date,Rainfall
0,1/1/1981,0.0
1,1/2/1981,7.325
2,1/3/1981,0.0
3,1/4/1981,0.0
4,1/5/1981,0.0
5,1/6/1981,0.0
6,1/7/1981,0.0
7,1/8/1981,0.0
8,1/9/1981,0.0
9,1/10/1981,0.0
10,1/11/1981,0.0
11,1/12/1981,0.0
12,1/13/1981,0.0
13,1/14/1981,0.0
14,1/15/1981,0.0
15,1/16/1981,0.0
16,1/17/1981,0.0
17,1/18/1981,0.0
18,1/19/1981,0.0
19,1/20/1981,0.0
20,1/21/1981,0.0
21,1/22/1981,0.0
22,1/23/1981,0.0
23,1/24/1981,0.0
24,1/25/1981,0.0
25,1/26/1981,0.0
26,1/27/1981,0.0
27,1/28/1981,0.0
28,1/29/1981,0.0
29,1/30/1981,0.0
30,1/31/1981,0.0
31,2/1/1981,0.0
32,2/2/1981,0.0
33,2/3/1981,0.0
34,2/4/1981,0.0
35,2/5/1981,0.0
36,2/6/1981,0.0
37,2/7/1981,0.0
38,2/8/1981,0.0
39,2/9/1981,0.0
40,2/10/1981,0.0
41,2/11/1981,0.0
42,2/12/1981,0.0
43,2/13/1981,0.0
44,2/14/1981,2.56
45,2/15/1981,2.69
46,2/16/1981,0.0
47,2/17/1981,11.844
48,2/18/1981,0.0
49,2/19/1981,0.0
50,2/20/1981,0.0
51,2/21/1981,0.0
52,2/22/1981,0.0
53,2/23/1981,0.0
54,2/24/1981,2.554
55,2/25/1981,0.0
56,2/26/1981,0.0
57,2/27/1981,0.0
58,2/28/1981,0.0
59,3/1/1981,0.0
60,3/2/1981,0.0
61,3/3/1981,0.0
62,3/4/1981,0.0
63,3/5/1981,7.726
64,3/6/1981,0.0
65,3/7/1981,0.0
66,3/8/1981,0.0
67,3/9/1981,0.0
68,3/10/1981,4.857
69,3/11/1981,5.729
70,3/12/1981,0.0
71,3/13/1981,9.32
72,3/14/1981,0.0
73,3/15/1981,7.945
74,3/16/1981,16.525
75,3/17/1981,11.924
76,3/18/1981,0.0
77,3/19/1981,8.544
78,3/20/1981,7.417
79,3/21/1981,7.101
80,3/22/1981,12.627
81,3/23/1981,9.56
82,3/24/1981,6.87
83,3/25/1981,16.388
84,3/26/1981,20.344
85,3/27/1981,36.235
86,3/28/1981,33.038
87,3/29/1981,4.84
88,3/30/1981,0.0
89,3/31/1981,0.0
90,4/1/1981,5.681
91,4/2/1981,20.829
92,4/3/1981,0.0
93,4/4/1981,0.0
94,4/5/1981,0.0
95,4/6/1981,0.0
96,4/7/1981,3.128
97,4/8/1981,0.0
98,4/9/1981,2.15
99,4/10/1981,8.7
100,4/11/1981,0.0
101,4/12/1981,7.129
102,4/13/1981,21.808
103,4/14/1981,42.093
104,4/15/1981,24.109
105,4/16/1981,20.66
106,4/17/1981,0.0
107,4/18/1981,0.0
108,4/19/1981,16.687
109,4/20/1981,9.403
110,4/21/1981,0.0
111,4/22/1981,22.823
112,4/23/1981,21.781
113,4/24/1981,32.344
114,4/25/1981,13.229
115,4/26/1981,14.912
116,4/27/1981,0.0
117,4/28/1981,0.0
118,4/29/1981,0.0
119,4/30/1981,0.0
120,5/1/1981,0.0
121,5/2/1981,0.0
122,5/3/1981,7.183
123,5/4/1981,0.0
124,5/5/1981,0.0
125,5/6/1981,0.0
126,5/7/1981,24.345
127,5/8/1981,17.293
128,5/9/1981,0.0
129,5/10/1981,0.0
130,5/11/1981,0.0
131,5/12/1981,0.0
132,5/13/1981,4.477
133,5/14/1981,0.0
134,5/15/1981,4.383
135,5/16/1981,13.711
136,5/17/1981,0.0
137,5/18/1981,0.0
138,5/19/1981,0.0
139,5/20/1981,0.0
140,5/21/1981,0.0
141,5/22/1981,0.0
142,5/23/1981,0.0
143,5/24/1981,0.0
144,5/25/1981,4.836
145,5/26/1981,0.0
146,5/27/1981,0.0
147,5/28/1981,0.0
148,5/29/1981,0.0
149,5/30/1981,2.717
150,5/31/1981,3.913
151,6/1/1981,0.0
152,6/2/1981,0.0
153,6/3/1981,0.0
154,6/4/1981,3.92
155,6/5/1981,0.0
156,6/6/1981,0.0
157,6/7/1981,0.0
158,6/8/1981,0.0
159,6/9/1981,0.0
160,6/10/1981,0.0
161,6/11/1981,0.0
162,6/12/1981,0.0
163,6/13/1981,0.0
164,6/14/1981,0.0
165,6/15/1981,0.0
166,6/16/1981,0.0
167,6/17/1981,0.0
168,6/18/1981,0.0
169,6/19/1981,0.0
170,6/20/1981,0.0
171,6/21/1981,0.0
172,6/22/1981,0.0
173,6/23/1981,0.0
174,6/24/1981,0.0
175,6/25/1981,24.445
176,6/26/1981,0.0
177,6/27/1981,4.221
178,6/28/1981,5.81
179,6/29/1981,6.062
180,6/30/1981,0.0
181,7/1/1981,0.0
182,7/2/1981,0.0
183,7/3/1981,0.0
184,7/4/1981,0.0
185,7/5/1981,14.247
186,7/6/1981,0.0
187,7/7/1981,0.0
188,7/8/1981,4.527
189,7/9/1981,7.717
190,7/10/1981,0.0
191,7/11/1981,6.29
192,7/12/1981,6.959
193,7/13/1981,4.962
194,7/14/1981,4.112
195,7/15/1981,3.474
196,7/16/1981,4.966
197,7/17/1981,6.188
198,7/18/1981,4.854
